제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
(Les)Paysans에 나타난 사회적 관계 양상 연구,황경숙,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901745,,KDC 863,포함
Julien Gracq의 에 나타난 인물과 공간의 의미 연구,조은미,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901748,,KDC 863,포함
蔡萬植文學硏究,이병원,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902089,,KDC 813,포함
韓國近代詩와 巫俗的 構造硏究,이몽희,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902433,,KDC 811,포함
蔡萬植의 民族主義文學 硏究,장양수,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902434,,KDC 813,포함
G. Hauptmann의 社會劇 에 나타난 社會批判의 양상과 限界,우병민,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901548,,KDC 852,포함
G. 루카치의 文學史 批評에 나타난 변증법적 기준에 관한 고찰,이민용,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901549,,KDC 850,포함
Hans Magnus Engensberger의 첫 시집 연구,최진규,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901550,,KDC 851,포함
芥川龍之介硏究,정지호,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902162,,KDC 833,포함
Mourning becomes Electra에 나타난 O'Neill의 비극적 비젼,김병희,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902630,,KDC 842,포함
硏究,권인숙,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902633,,KDC 813,포함
金裕貞 小說의 作中人物 硏究,이만식,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902114,,KDC 813,포함
Theodore Dreiserd의 Sister Carrie 연구,박정식,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902420,,KDC 843,포함
Heinrch Boell의 초기 문학에 나타난 현실 비판,오상섭,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901562,,KDC 853,포함
(The)adventures of Huckleberry Finn에 나타난 Twain의 사상,박종원,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902137,,KDC 843,포함
硏究,박윤호,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902138,,KDC 833,포함
Lord Jim과 “Heart of darkness”에 관한 硏究,김이한,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902368,,KDC 843,포함
古代小說에 나타난 地獄觀에 關한 考察,김석이,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901965,,KDC 813,포함
