제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
"""그림책 깊이 읽기"" 워크숍 무기한 연기 안내",이경희,동화,,발표 시기 미상,,,,포함
사서를 위한 그림책 강좌(9월),이경희,동화,,발표 시기 미상,,,,포함
새로운 체험형 동화구연 콘텐츠 운영계획 안내,관리자,동화,,발표 시기 미상,,,,포함
그림책 작가 워크숍 최종발표회 참가대상자 안내,권서현,동화,,발표 시기 미상,,,,포함
9월 '작가와 함께 그림책 읽는 아이' 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
2017 꿈다락 토요문화학교 「연극으로 읽는 동화」 5기 모집,전고운,동화,,발표 시기 미상,,,,포함
그림책 작가가 직접 하는 공연 보러 오세요~,권서현,동화,,발표 시기 미상,,,,포함
8월 '작가와 함께 그림책 읽는 아이' 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
체험형 동화구연 체험관 콘텐츠 작업으로 공연 일시 중지(6.17 ~ 6.21) 안내,관리자,동화,,발표 시기 미상,,,,포함
(마감) 6월「연극으로 읽는 동화」 초등학교 1~2학년 어린이와 함께해요~,어린이자료실,동화,,발표 시기 미상,,,,포함
폴란드 동화작가 ‘이보나 흐미엘레프스카’ 초청 워크숍 안내,안승문,동화,,발표 시기 미상,,,,포함
다국어 동화구연 서비스 일시 중단 안내,관리자,동화,,발표 시기 미상,,,,포함
Illustrated Children's Books Denmark : 덴마크 일러스트 동화전 개최,nlcypr,동화,,발표 시기 미상,,,,포함
"8월 ""체험형동화구연"" 프로그램 추가 운영 안내",전고운,동화,,발표 시기 미상,,,,포함
6월 '작가와 함께 그림책 읽는 아이' 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
'작가와 함께 그림책 읽는 아이' 장소 및 시간 변경 안내(2017.6월부터~),이수경,동화,,발표 시기 미상,,,,포함
2013년 동화구연 접수안내,어린이자료실,동화,,발표 시기 미상,,,,포함
2017년 꿈다락 토요문화학교 「연극으로 읽는 동화」 2기 모집,전고운,동화,,발표 시기 미상,,,,포함
『언니ㆍ오빠와 함께 읽는 영어 그림책』 자원봉사자 모집,윤덕영,동화,,발표 시기 미상,,,,포함
를 들려드립니다.,배정미,동화,,발표 시기 미상,,,,포함
4월 '작가와 함께 그림책 읽는 아이' 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
2017년 꿈다락 토요문화학교 「연극으로 읽는 동화」 1기 모집,전고운,동화,,발표 시기 미상,,,,포함
"""2017년 꿈다락토요문화학교 : 연극으로 읽는 동화"" 운영 일정 안내",전고운,동화,,발표 시기 미상,,,,포함
"2017년 ""사서와 함께 읽는 그림책"" 변경 운영 공지",전고운,동화,,발표 시기 미상,,,,포함
그림형제의 동화속으로~ 퀴즈당첨자를 알려드립니다.,김애란,동화,,발표 시기 미상,,,,포함
3월 '작가와 함께 그림책 읽는 아이' 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
11월「연극으로 읽는 동화」 초등학교 1~2학년 어린이와 함께해요~,어린이자료실,동화,,발표 시기 미상,,,,포함
그림책 작가 워크숍 참가자 선정 결과 안내,정봉식,동화,,발표 시기 미상,,,,포함
2월 '작가와 함께 그림책 읽는 아이' 운영 안내,정봉식,동화,,발표 시기 미상,,,,포함
2012년도「그림책 깊이 읽기」워크숍(2기) 개최 안내(신청마감),정혜연,동화,,발표 시기 미상,,,,포함
그림책 작가 워크숍 참가자 모집,정봉식,동화,,발표 시기 미상,,,,포함
「프랑스 그림책전」 전시 연계 강연 참가자 명단 알림,정봉식,동화,,발표 시기 미상,,,,포함
9월 독서의 달 행사 알려드립니다,조재학,동화,,발표 시기 미상,,,,포함
7월 초등 영어그림책 읽기,외국아동자료실,동화,,발표 시기 미상,,,,포함
6월 초등 영어그림책 읽기,외국아동자료실,동화,,발표 시기 미상,,,,포함
행사 안내,조재학,동화,,발표 시기 미상,,,,포함
5월 초등 영어 그림책 읽기,외국아동자료실,동화,,발표 시기 미상,,,,포함
세계책나라축제 - 제 1회 그림동화 그림독후감 공모전 대회,관리자,동화,,발표 시기 미상,,,,포함
영어그림책 Story Time,외국아동자료실,동화,,발표 시기 미상,,,,포함
5월 영어그림책 Story Time,외국아동자료실,동화,,발표 시기 미상,,,,포함
체험형 동화구연 신규동화 추가 및 운영시간 변경 안내,관리자,동화,,발표 시기 미상,,,,포함
11월 연극으로 읽는 동화 초등 1~3학년 어린이 함께 해요! (1학년 참여가능),어린이자료실,동화,,발표 시기 미상,,,,포함
체험형 동화구연 서비스 일시중지 안내(10.17~10.24),관리자,동화,,발표 시기 미상,,,,포함
「베트남 동화여행」접수 안내,외국아동자료실,동화,,발표 시기 미상,,,,포함
[체험형 동화구연] 여름방학 중 운영시간이 변경됩니다.,관리자,동화,,발표 시기 미상,,,,포함
‘사서가 추천하는 현대 그림책 원화전’개최안내,안승문,동화,,발표 시기 미상,,,,포함
(공문) 참가대상자 명단 알림,안정희,동화,,발표 시기 미상,,,,포함
참가대상자 명단,안정희,동화,,발표 시기 미상,,,,포함
참가신청 안내,안정희,동화,,발표 시기 미상,,,,포함
점자동화 공모전 안내,관리자,동화,,발표 시기 미상,,,,포함
「연극으로 읽는 동화」6~7세 어린이 친구들 함께 해요! -어린이자료실-,어린이자료실,동화,,발표 시기 미상,,,,포함
"외국아동자료실 테마도서전『그림으로 읽는 동화, 칼데콧 상(The Caldecott Medal)』연계 특강 안내",외국아동자료실,동화,,발표 시기 미상,,,,포함
"외국아동자료실 테마도서전 & 특강 『그림으로 읽는 동화, 칼데콧 상(The Caldecott Medal)』",외국아동자료실,동화,,발표 시기 미상,,,,포함
2011년 봄학기 영어그림책 Story Time 접수안내,박다래,동화,,발표 시기 미상,,,,포함
창작 그림책 전시회 ‘책놀이터와 쓱쓱뚝딱’ 연장 안내,안승문,동화,,발표 시기 미상,,,,포함
체험형 동화구연 운영방법 변경 안내,관리자,동화,,발표 시기 미상,,,,포함
창작그림책전시회 ‘책놀이터와 쓱쓱뚝딱’ 개최안내,안승문,동화,,발표 시기 미상,,,,포함
2011년 동화구연 접수안내 (어린이자료실),권지영,동화,,발표 시기 미상,,,,포함
「연극으로 읽는 동화 」6살 친구들 함께해요!,권지영,동화,,발표 시기 미상,,,,포함
「체코 그림책 삽화 전」개막식 참가안내,안승문,동화,,발표 시기 미상,,,,포함
뮤지컬 영어동화-정글북(The Jungle Book),문성주,동화,,발표 시기 미상,,,,포함
「독일 현대 그림책 삽화 전」개막식 참가안내,안승문,동화,,발표 시기 미상,,,,포함
[테마도서전] (한·일 어린이) 스토리타임에 인기 있는 그림책,박다래,동화,,발표 시기 미상,,,,포함
[접수마감] 10월 연극으로 읽는 동화 : 자연과 놀자!!,이지현,동화,,발표 시기 미상,,,,포함
영어그림책 · 초등영어 StoryTime 가을학기 참가접수 마감,박다래,동화,,발표 시기 미상,,,,포함
