제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
"서유기의 삼장법사, 실크로드에서 진리를 찾다",프리실라 갤러웨이 외/ 양녕자,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5021&book_info_id=3,,,포함
발레하는 수녀님,원유순,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5039&book_info_id=5,,,포함
백마 탄 왕자들은 왜 그렇게 떠돌아다닐까,박신영,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5041&book_info_id=3,,,중복 제외 (앞 순위 출처에 있음)
정답을 알려줄게,케이트 메스너/이보미,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=40284&book_info_id=1,,,포함
책으로 전쟁을 멈춘 남작,질 바움,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=70266&book_info_id=9,,,포함
굿바이 내비,문부일,단편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=70680&book_info_id=2,,,포함
위험이 보인다! 부릅뜨고 안전,이미현,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=27321&book_info_id=6,,,포함
쿠쉬나메,배유안,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=27321&book_info_id=8,,,포함
광복군 할아버지가 들려주는 태극기 이야기,신현배,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5047&book_info_id=10,,,포함
"우리가 보낸 순간 : 날마다 읽고 쓴다는 것 - 시, 소설",김연수,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5017&book_info_id=1,,,포함
우리말 소반다듬이,권오운,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5016&book_info_id=8,,,포함
