제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
자정의 픽션:박형서 소설집,박형서,단편소설,2009,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1026523&isbn=9788932017365&mid=b30201000000,문학과지성사,,포함
"시가 있는 여행:한 손엔 차표를, 한 손엔 시집을",윤용인,시,2012,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1022368&isbn=9788996697916&mid=b30201000000,에르디아,,포함
발버둥치다 : 박하령 장편소설,박하령,장편소설,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029550&isbn=9788954438445&mid=b30201000000,자음과모음,,포함
쌍둥이 할아버지의 노래 : 김준태 시집,김준태,시,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029557&isbn=9791187036555&mid=b30201000000,b,,포함
내가 정말이라면:유이우 시집,유이우,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031649&isbn=9788936424343&mid=b30201000000,창비,,포함
티타티타:김서령 장편소설,김서령,장편소설,2010,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1021581&isbn=9788972754596&mid=b30201000000,현대문학,,포함
"시를 담은 그림, 그림이 된 시",윤철규,시,2016,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1027152&isbn=9788960534223&mid=b30201000000,마로니에북스,,포함
꽃처럼 신화:스토리텔링 세계신화,김남일,소설,2017,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1028691&isbn=9791156623342&mid=b30201000000,아시아,,포함
다시 없을 말: 김윤이 시집,김윤이,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031666&isbn=9788983927569&mid=b30201000000,문학수첩,,포함
"아이는 자라고, 그림책에 흔들리다",감자꽃,동화,2016,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1024423&isbn=9791155250594&mid=b30201000000,낮은산,,포함
가을빛 사서함 : 김경 시집,김경,시,2014,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029046&isbn=9788994889788&mid=b30201000000,시학,,포함
김승옥소설전집3-내가 훔친 여름,김승옥,소설,2014,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1017895&isbn=9788982818691&mid=b30201000000,문학동네,,포함
제복과 수갑 : 긴급조치 시대의 한국 소설,김형중,소설,2023,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1036790&isbn=9788932041964&mid=b30201000000,문학과지성사,,포함
"마침내, 네가 비밀이 되었다:김윤배 시집",김윤배,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031653&isbn=9788960787087&mid=b30201000000,휴먼앤북스,,포함
제왕나비 : 최동호 시집,최동호,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031369&isbn=9791188903221&mid=b30201000000,서정시학,,중복 제외 (앞 순위 출처에 있음)
유라시아 신화여행,최혜영 외,소설,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031081&isbn=9788992448741&mid=b30201000000,아모르문디,,포함
가여운 나를 위로하다:박두규 시집,박두규,시,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030553&isbn=9791188071166&mid=b30201000000,모악,,포함
향촌동 랩소디:이하석 시집,이하석,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031646&isbn=9788983450548&mid=b30201000000,시와반시,,포함
내가 내 심장을 느끼게 될지도 모르니까:정다연 시집,정다연,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031650&isbn=9788972751199&mid=b30201000000,현대문학,,포함
"밤, 비, 뱀:박연준 시집",박연준,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031651&isbn=9788972751175&mid=b30201000000,현대문학,,포함
물고기 신발: 김미정 시집,김미정,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031658&isbn=9788960214569&mid=b30201000000,천년의시작,,포함
시간에는 나사가 있다: 김규성 시집,김규성,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031660&isbn=9791188710492&mid=b30201000000,달아실,,포함
"안녕, 푸른 고래 수염: 홍재운 시집",홍재운,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031662&isbn=9791185260389&mid=b30201000000,시와세계,,포함
당신을 다루는 법: 유현서 시집,유현서,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031664&isbn=9791157283767&mid=b30201000000,지혜,,포함
너의 거기는 작고 나의 여기는 커서 우리들은 헤어지는 중입니다: 김민정 시집,김민정,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031665&isbn=9788932035963&mid=b30201000000,문학과지성사,,포함
모두의 산책: 윤진화 시집,윤진화,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031667&isbn=9788983927835&mid=b30201000000,문학수첩,,포함
오늘의 마음: 김예강 시집,김예강,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031668&isbn=9791158964405&mid=b30201000000,문학의전당,,포함
어디서부터 오는 비인가요: 윤의섭 시집,윤의섭,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031669&isbn=9788937408847&mid=b30201000000,민음사,,포함
