제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
행복을 나르는 버스,맷 데 라 페냐,소설,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=45635,,,포함
마음에 지지 않을 용기,김이율,기타,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=25505,,,포함
일언력,가와카미 데쓰야,평론,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=67225,,,포함
진 브로디 선생의 전성기,뮤리얼 스파크,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=67226,,,포함
악의,정해연,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=37894,,,포함
"70세 사망법안, 가결",가키야 미우,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=75273,,,포함
어릴 적 그 책,,평론,2013,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=7923,,,포함
위험한 시간 여행,조이스 캐롤 오츠,소설,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=84763,,,포함
엄마의 죽음은 처음이니까,권혁란,기타,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=95433,,,포함
혼자만의 시간이 필요한 이유,나코시 야스후미,평론,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=75268,,,포함
