제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
뒤늦게 발동걸린 인생들의 이야기,김덕영,소설,,발표 시기 미상,,,,포함
나무가 청춘이다,고주환,노래,,발표 시기 미상,,,,포함
배를 엮다,미우라 시온,장편소설,,발표 시기 미상,,,,포함
망원동 브라더스,김호연,장편소설,,발표 시기 미상,,,,중복 제외 (앞 순위 출처에 있음)
"불혹, 세상에 혹하지 아니하리라 : 마흔에 다시 읽는 동양고전 에세이",신정근,수필,,발표 시기 미상,,,,포함
하루 : 박영택의 마음으로 읽는 그림 에세이,박영택,수필,,발표 시기 미상,,,,포함
풀빵이 어때서?,김학찬,장편소설,,발표 시기 미상,,,,포함
소금,박범신,장편소설,,발표 시기 미상,,,,포함
백마탄 왕자들은 왜 그렇게 떠돌아 다닐까: 명작동화에 숨은 역사찾기,박신영,동화,,발표 시기 미상,,,,포함
(삶을 일깨우는) 옛이야기의 힘,신동흔,소설,,발표 시기 미상,,,,포함
아버지를 마지막으로 본 것은 언제입니까?,블레이크 모리슨,소설,,발표 시기 미상,,,,포함
소설가의 여행법,함정임,소설,,발표 시기 미상,,,,포함
헤밍웨이와 파리의 아내,"지은이: 폴라 매클레인, 옮긴이: 이은선",소설,,발표 시기 미상,,,,포함
황홀극치,나태주,시,,발표 시기 미상,,,,포함
